Département,Ville ,code postal,population,superficie
1,ANGLEFORT,1350,900,29.26
1,CORLIER,1110,100,5.45
1,FERNEY-VOLTAIRE,1210,7800,4.78
1,SAINT-MAURICE-DE-REMENS,1500,700,10.35
1,CHATILLON-LA-PALUD,1320,1500,14.01
1,SAINT-SULPICE,1340,100,5.26
1,SAINT-BOIS,1300,100,9.42
1,VIRIGNIN,1300,800,7.88
1,PREMILLIEU,1110,0,8.51
1,GENOUILLEUX,1090,600,4.08
1,REYSSOUZE,1190,900,9.54
1,COLLONGES,1550,1600,16.25
1,SAINT-GERMAIN-DE-JOUX,1130,500,11.27
1,BREGNIER-CORDON,1300,700,11
1,SAINT-MARTIN-LE-CHATEL,1310,800,12.77
1,MARIGNIEU,1300,200,3.55
1,LES NEYROLLES,1130,700,9.5
1,SULIGNAT,1400,600,10.8
1,BENY,1370,700,18.25
1,INJOUX-GENISSIAT,1200,1000,29.61
1,CHANAY,1420,600,18.1
1,CHATILLON-SUR-CHALARONNE,1400,4900,17.98
1,FARGES,1550,800,14.28
1,SAINT-ALBAN,1450,200,8.08
1,CURTAFOND,1310,700,12.41
1,VIRIAT,1440,5700,45.03
1,BELLEYDOUX,1130,300,17.63
1,BAGE-LE-CHATEL,1380,800,0.88
1,SAINTE-OLIVE,1330,300,7.39
1,SAINT-GENIS-SUR-MENTHON,1380,400,11.55
1,DOMSURE,1270,500,15.2
1,CHAVANNES-SUR-SURAN,1250,700,21.5
1,PRIAY,1160,1400,15.77
1,PEYRIEU,1300,800,14.13
1,LALLEYRIAT,1130,200,15.25
1,SERGY,1630,1700,9.46
1,SAINT-MARTIN-DU-FRENE,1430,1100,19.14
1,SAINT-MAURICE-DE-BEYNOST,1700,3900,6.99
1,SERVAS,1240,1200,13.05
1,CUZIEU,1300,400,4.87
1,JAYAT,1340,1000,16.3
1,LAVOURS,1350,100,6.3
1,CHEVROUX,1190,900,17.2
1,POLLIEU,1350,200,3.71
1,BELIGNEUX,1360,2900,13.3
1,BRENAZ,1260,100,9.79
1,BENONCES,1470,300,15.33
1,SAINT-JEAN-LE-VIEUX,1640,1600,15.33
1,BEAUREGARD,1480,900,0.94
1,OYONNAX,1100,23100,36.18
1,MIONNAY,1390,2100,19.62
1,GERMAGNAT,1250,100,9.48
1,COLIGNY,1270,1200,16.87
1,SIMANDRE-SUR-SURAN,1250,700,16.3
1,L'ABERGEMENT-CLEMENCIAT,1400,800,15.95
1,LESCHEROUX,1560,700,20.05
1,ORNEX,1210,3200,5.64
1,DOMMARTIN,1380,800,17.19
1,LOMPNAS,1680,200,12.69
1,BETTANT,1500,700,3.37
1,ARMIX,1510,0,6.82
1,FEILLENS,1570,3100,14.91
1,CHAVORNAY,1510,200,7.77
1,CHALLEX,1630,1100,8.67
1,VONGNES,1350,100,2.05
1,MAGNIEU,1300,400,6.23
1,GROISSIAT,1810,1100,6.32
1,DOMPIERRE-SUR-CHALARONNE,1400,400,4.78
1,MONTLUEL,1120,6800,40.11
1,LE POIZAT,1130,400,17.9
1,HOSTIAZ,1110,100,10.6
1,MONTANGES,1200,300,13.7
1,SAINTE-JULIE,1150,800,11.15
1,BEY,1290,200,2.77
1,SONTHONNAX-LA-MONTAGNE,1580,300,14.14
1,MEZERIAT,1660,2000,19.17
1,BELLIGNAT,1810,3500,7.83
1,SAINT-MARCEL,1390,1200,11.64
1,BELLEY,1300,8800,22.42
1,CORBONOD,1420,1200,31.59
1,NEYRON,1700,2300,5.36
1,SAINT-PAUL-DE-VARAX,1240,1500,25.97
1,PRESSIAT,1370,200,6.01
1,CHAZEY-BONS,1300,700,10.59
1,SERVIGNAT,1560,200,7.99
1,MARLIEUX,1240,800,16.85
1,ANDERT-ET-CONDON,1300,300,6.94
1,HAUTECOURT-ROMANECHE,1250,700,21.6
1,CROTTET,1620,1700,12.12
1,DRUILLAT,1160,1100,20.72
1,DOMPIERRE-SUR-VEYLE,1240,1200,29.1
1,PEROUGES,1800,1200,18.97
1,RIGNIEUX-LE-FRANC,1800,900,15.02
1,GIRON,1130,100,9.39
1,CERDON,1450,800,12.3
1,CRUZILLES-LES-MEPILLAT,1290,800,11.84
1,LELEX,1410,200,17.63
1,LHOPITAL,1420,100,3.68
1,SEGNY,1170,1600,3.24
1,CHEIGNIEU-LA-BALME,1510,200,6.26
1,SAINT-VULBAS,1150,900,21.44
1,ECHALLON,1130,800,28.09
1,LE MONTELLIER,1800,200,15.38
1,MARTIGNAT,1810,1600,13.25
1,CEYZERIAT,1250,2600,9.36
1,MONTCET,1310,700,6.68
1,VONNAS,1540,2700,17.81
1,BUELLAS,1310,1600,10.21
1,SAINT-BENIGNE,1190,1100,16.49
1,CHEVILLARD,1430,200,6.67
1,BOULIGNEUX,1330,300,26.09
1,CONTREVOZ,1300,500,14.18
1,CHAMPDOR,1110,500,17.37
1,PORT,1460,900,4.25
1,SURJOUX,1420,100,4.31
1,CHAMPFROMIER,1410,700,32.4
1,VESINES,1570,100,3.88
1,SEILLONNAZ,1470,100,9.59
1,VARAMBON,1160,500,7.99
1,LE GRAND-ABERGEMENT,1260,100,31.92
1,JASSANS-RIOTTIER,1480,5900,4.81
1,ASNIERES-SUR-SAONE,1570,100,4.68
1,CONDAMINE,1430,400,4.64
1,LHUIS,1680,800,24.43
1,ROMANS,1400,600,22.32
1,PIZAY,1120,800,11.18
1,CERTINES,1240,1500,15.92
1,RUFFIEU,1260,200,14.03
1,MEXIMIEUX,1800,7300,13.75
1,SAINT-RAMBERT-EN-BUGEY,1230,2200,28.55
1,AMBRONAY,1500,2300,33.55
1,CIZE,1250,200,4.52
1,SAINT-GERMAIN-SUR-RENON,1240,200,15.8
1,VILLETTE-SUR-AIN,1320,700,19.38
1,DAGNEUX,1120,3900,6.65
1,BOISSEY,1190,200,9.05
1,SALAVRE,1270,300,7.77
1,BRION,1460,500,4.48
1,LABALME,1450,200,8.8
1,SAUVERNY,1220,1100,1.89
1,MONTCEAUX,1090,1100,10.03
1,BRENOD,1110,500,23.79
1,MISERIEUX,1600,1700,7.41
1,PREVESSIN-MOENS,1280,5300,12.07
1,LENT,1240,1300,31.48
1,MARSONNAS,1340,900,18.38
1,MANZIAT,1570,1900,12.63
1,TREVOUX,1600,6800,5.71
1,BELLEGARDE-SUR-VALSERINE,1200,11400,15.25
1,BOURG-EN-BRESSE,1000,40200,23.86
1,CONFORT,1200,500,11.66
1,SAINT-DENIS-LES-BOURG,1000,5200,12.58
1,MASSIGNIEU-DE-RIVES,1300,600,9.52
1,SAINT-ETIENNE-SUR-CHALARONNE,1140,1400,20.99
1,BOHAS-MEYRIAT-RIGNAT,1250,800,23.51
1,CHEVRY,1170,1200,5.84
1,FAREINS,1480,2000,8.22
1,GORREVOD,1190,700,6.88
1,VALEINS,1140,100,4.36
1,VIEU-D'IZENAVE,1430,700,23.73
1,TOUSSIEUX,1600,700,4.74
1,ARBIGNY,1190,400,17.47
1,MALAFRETAZ,1340,900,9.19
1,SAMOGNAT,1580,700,14.01
1,CRAS-SUR-REYSSOUZE,1340,1200,13.83
1,MESSIMY-SUR-SAONE,1480,1200,5.95
1,POUGNY,1550,800,7.77
1,SANDRANS,1400,500,29.02
1,PONT-DE-VEYLE,1290,1500,1.94
1,MIJOUX,1170,400,22
1,SAINT-JEAN-DE-GONVILLE,1630,1400,12.36
1,SAINT-ANDRE-LE-BOUCHOUX,1240,300,9.32
1,CHANEINS,1990,800,12.63
1,JOYEUX,1800,200,16.58
1,TRAMOYES,1390,1600,12.93
1,BIZIAT,1290,800,11.39
1,IZENAVE,1430,200,13.04
1,BELMONT-LUTHEZIEU,1260,500,19.77
1,ARBENT,1100,3400,23.49
1,SUTRIEU,1260,200,19.05
1,SERRIERES-DE-BRIORD,1470,1100,8.03
1,ARANC,1110,300,21.65
1,CHALEY,1230,100,4.6
1,CURCIAT-DONGALON,1560,400,23.94
1,LOYETTES,1360,2400,21.28
1,GEX,1170,9700,32.02
1,COURTES,1560,300,9.06
1,BEREZIAT,1340,400,10.83
1,LAPEYROUSE,1330,300,20.04
1,APREMONT,1100,300,14.57
1,VILLIEU-LOYES-MOLLON,1800,2900,15.91
1,LEYMENT,1150,1300,14.18
1,ETREZ,1340,800,12.15
2,GERCY,2140,300,6.33
2,VILLEMONTOIRE,2210,200,7.65
2,BRANCOURT-LE-GRAND,2110,600,13.14
2,LICY-CLIGNON,2810,100,4.09
2,PROISY,2120,300,5.2
2,CHAMBRY,2000,700,8.89
2,MONT-SAINT-JEAN,2360,100,3.97
2,MORGNY-EN-THIERACHE,2360,100,6.99
2,MESNIL-SAINT-LAURENT,2720,400,5.45
2,ANNOIS,2480,400,5.9
2,BRUNEHAMEL,2360,500,8.9
2,AUDIGNICOURT,2300,100,5.66
2,MONTIGNY-SUR-CRECY,2270,300,8.53
2,LOR,2190,100,8.87
2,CHIVRES-EN-LAONNOIS,2350,400,13.56
2,SAINT-GOBAIN,2410,2300,29.73
2,UGNY-LE-GAY,2300,200,5.9
2,HAPPENCOURT,2480,200,5.18
2,PROUVAIS,2190,400,18.22
2,AZY-SUR-MARNE,2400,400,2.78
2,TERNY-SORNY,2880,300,7.07
2,DROIZY,2210,100,5.42
2,PIGNICOURT,2190,100,7.01
2,MOUSSY-VERNEUIL,2160,100,6.43
2,AGUILCOURT,2190,300,10.57
